date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,year,date,month,hour
2012-10-04 00:00:00,0,260,32,5,350,8,8,284.55,0.0,0.0,1,0,27,598,2012,4,10,0
2012-10-04 01:00:00,0,234,37,5,350,5,5,283.47,0.0,0.0,1,0,27,369,2012,4,10,1
2012-10-04 02:00:00,0,162,36,4,330,5,5,283.17,0.0,0.0,1,0,27,312,2012,4,10,2
2012-10-04 03:00:00,0,65,39,6,340,1,1,282.04,0.0,0.0,1,0,27,367,2012,4,10,3
2012-10-04 04:00:00,0,18,41,5,340,1,1,281.69,0.0,0.0,1,0,27,835,2012,4,10,4
2012-10-04 05:00:00,0,250,44,5,350,4,4,281.32,0.0,0.0,1,0,27,2726,2012,4,10,5
2012-10-04 06:00:00,0,173,44,4,340,4,4,280.74,0.0,0.0,1,0,27,5689,2012,4,10,6
2012-10-04 07:00:00,0,142,47,4,350,2,2,280.57,0.0,0.0,1,0,27,6990,2012,4,10,7
2012-10-04 08:00:00,0,90,50,4,360,5,5,281.86,0.0,0.0,1,0,27,5985,2012,4,10,8
2012-10-04 09:00:00,0,144,75,0,0,6,6,284.98,0.0,0.0,1,0,27,5309,2012,4,10,9
2012-10-04 10:00:00,0,143,57,0,0,8,8,289.18,0.0,0.0,1,0,27,4603,2012,4,10,10
2012-10-04 11:00:00,0,61,70,1,320,1,1,291.55,0.0,0.0,1,0,27,4884,2012,4,10,11
2012-10-04 12:00:00,0,211,93,0,0,4,4,294.97,0.0,0.0,1,0,27,5104,2012,4,10,12
2012-10-04 13:00:00,0,207,84,0,0,6,6,296.38,0.0,0.0,1,0,27,5178,2012,4,10,13
2012-10-04 14:00:00,0,115,75,0,0,7,7,297.32,0.0,0.0,1,0,27,5501,2012,4,10,14
2012-10-04 15:00:00,0,253,57,0,0,2,2,298.17,0.0,0.0,1,0,27,5713,2012,4,10,15
2012-10-04 16:00:00,0,242,53,1,63,5,5,298.06,0.0,0.0,20,1,4,6292,2012,4,10,16
2012-10-04 17:00:00,0,23,49,2,126,5,5,297.67,0.0,0.0,20,1,4,6057,2012,4,10,17
2012-10-04 18:00:00,0,234,45,3,190,5,5,296.36,0.0,0.0,40,1,24,4907,2012,4,10,18
2012-10-04 19:00:00,0,220,37,3,170,6,6,293.85,0.0,0.0,40,1,24,3503,2012,4,10,19
2012-10-04 20:00:00,0,210,28,3,190,5,5,292.43,0.0,0.0,40,1,24,3037,2012,4,10,20
2012-10-04 21:00:00,0,174,30,2,0,7,7,291.77,0.0,0.0,75,1,2,2822,2012,4,10,21
2012-10-04 22:00:00,0,58,26,4,140,4,4,291.36,0.0,0.0,75,1,2,1992,2012,4,10,22
2012-10-04 23:00:00,0,142,26,3,170,1,1,291.12,0.0,0.0,75,1,2,1166,2012,4,10,23
2012-10-05 00:00:00,0,79,26,3,200,6,6,290.63,0.0,0.0,75,1,2,627,2012,5,10,0
2012-10-05 01:00:00,0,128,30,3,180,9,9,290.46,0.0,0.0,40,1,24,388,2012,5,10,1
2012-10-05 03:00:00,0,148,34,2,150,4,4,289.26,0.0,0.0,0,0,27,368,2012,5,10,3
2012-10-05 05:00:00,0,252,41,2,140,7,7,283.21,0.0,0.0,75,1,2,2489,2012,5,10,5
2012-10-05 06:00:00,0,190,47,3,140,3,3,282.24,0.0,0.0,90,1,19,5537,2012,5,10,6
2012-10-05 07:00:00,0,192,47,2,160,9,9,281.69,0.0,0.0,90,1,19,6628,2012,5,10,7
2012-10-05 08:00:00,0,59,47,2,160,9,9,280.57,0.0,0.0,90,1,19,5534,2012,5,10,8
2012-10-05 09:00:00,0,190,54,2,130,6,6,280.02,0.0,0.0,75,1,2,5403,2012,5,10,9
2012-10-05 10:00:00,0,134,71,0,0,5,5,280.11,0.0,0.0,75,1,2,4770,2012,5,10,10
2012-10-05 11:00:00,0,240,58,2,110,8,8,280.0,0.0,0.0,90,1,19,5217,2012,5,10,11
2012-10-05 12:00:00,0,12,76,2,150,9,9,280.53,0.0,0.0,90,1,19,5870,2012,5,10,12
2012-10-05 13:00:00,0,182,71,3,110,5,5,281.43,0.0,0.0,75,1,2,5967,2012,5,10,13
2012-10-05 14:00:00,0,90,71,1,110,5,5,281.78,0.0,0.0,90,1,19,6108,2012,5,10,14
2012-10-05 15:00:00,0,284,76,2,110,3,3,281.91,0.0,0.0,90,1,19,6128,2012,5,10,15
2012-10-05 16:00:00,0,228,76,2,120,2,2,281.73,0.0,0.0,90,1,19,6069,2012,5,10,16
2012-10-05 17:00:00,0,149,71,1,110,9,9,281.42,0.0,0.0,90,1,19,6169,2012,5,10,17
2012-10-05 18:00:00,0,72,54,0,0,8,8,280.87,0.0,0.0,90,1,19,5384,2012,5,10,18
2012-10-05 19:00:00,0,36,45,2,160,2,2,280.15,0.0,0.0,90,1,19,4063,2012,5,10,19
2012-10-05 20:00:00,0,205,35,2,0,6,6,279.78,0.0,0.0,90,1,19,3364,2012,5,10,20
2012-10-05 21:00:00,0,161,27,4,160,9,9,279.65,0.0,0.0,75,1,2,2971,2012,5,10,21
2012-10-05 22:00:00,0,261,25,4,180,4,4,279.22,0.0,0.0,40,1,24,2450,2012,5,10,22
2012-10-05 23:00:00,0,257,25,4,160,4,4,279.06,0.0,0.0,40,1,24,1832,2012,5,10,23
2012-10-06 00:00:00,0,163,23,5,150,6,6,278.81,0.0,0.0,90,1,19,1231,2012,6,10,0
2012-10-06 01:00:00,0,219,23,5,160,4,4,278.55,0.0,0.0,90,1,19,718,2012,6,10,1
2012-10-06 02:00:00,0,31,25,4,150,7,7,278.59,0.0,0.0,90,1,19,545,2012,6,10,2
2012-10-06 04:00:00,0,79,32,2,140,9,9,276.99,0.0,0.0,75,1,2,411,2012,6,10,4
2012-10-06 05:00:00,0,28,30,3,130,7,7,276.35,0.0,0.0,20,1,4,688,2012,6,10,5
2012-10-06 06:00:00,0,110,37,3,130,1,1,275.4,0.0,0.0,1,0,27,1352,2012,6,10,6
2012-10-06 07:00:00,0,171,42,3,140,9,9,275.17,0.0,0.0,1,0,27,2072,2012,6,10,7
2012-10-06 08:00:00,0,148,45,5,140,3,3,274.99,0.0,0.0,1,0,27,3342,2012,6,10,8
2012-10-06 09:00:00,0,97,45,5,140,2,2,275.09,0.0,0.0,40,1,24,4258,2012,6,10,9
2012-10-06 10:00:00,0,46,48,5,140,2,2,276.88,0.0,0.0,20,1,4,4861,2012,6,10,10
2012-10-06 11:00:00,0,180,24,2,194,7,7,278.04,0.0,0.0,20,1,4,5191,2012,6,10,11
2012-10-06 12:00:00,0,269,24,0,248,6,6,279.08,0.0,0.0,40,1,24,5669,2012,6,10,12
2012-10-06 13:00:00,0,280,31,4,239,6,6,280.12,0.0,0.0,75,1,2,5074,2012,6,10,13
2012-10-06 14:00:00,0,264,62,9,230,7,7,280.25,0.0,0.0,75,1,2,5025,2012,6,10,14
2012-10-06 15:00:00,0,149,70,5,240,5,5,280.0,0.0,0.0,75,1,2,5153,2012,6,10,15
2012-10-06 16:00:00,0,77,70,9,240,5,5,279.06,0.0,0.0,90,1,19,5024,2012,6,10,16
2012-10-06 17:00:00,0,77,70,8,250,1,1,278.91,0.0,0.0,90,1,19,4779,2012,6,10,17
2012-10-06 18:00:00,0,178,70,7,250,1,1,278.39,0.0,0.0,90,1,19,4362,2012,6,10,18
2012-10-06 19:00:00,0,114,61,9,250,8,8,278.16,0.0,0.0,90,1,19,3860,2012,6,10,19
2012-10-06 20:00:00,0,67,65,9,260,2,2,278.16,0.0,0.0,90,1,19,3160,2012,6,10,20
2012-10-06 21:00:00,0,196,70,8,250,1,1,277.93,0.0,0.0,90,1,19,2992,2012,6,10,21
2012-10-06 22:00:00,0,65,70,10,270,5,5,276.9,0.0,0.0,90,1,19,3202,2012,6,10,22
2012-10-06 23:00:00,0,13,70,12,260,5,5,276.34,0.0,0.0,75,1,2,1941,2012,6,10,23
2012-10-07 00:00:00,0,294,70,10,260,2,2,276.11,0.0,0.0,75,1,2,1233,2012,7,10,0
2012-10-07 03:00:00,0,26,70,12,270,6,6,275.73,0.0,0.0,90,1,19,323,2012,7,10,3
2012-10-07 04:00:00,0,246,70,8,260,7,7,275.65,0.0,0.0,90,1,19,312,2012,7,10,4
2012-10-07 05:00:00,0,259,70,7,270,4,4,275.51,0.0,0.0,75,1,2,627,2012,7,10,5
2012-10-07 06:00:00,0,33,52,8,280,9,9,275.05,0.0,0.0,90,1,19,1508,2012,7,10,6
2012-10-07 07:00:00,0,125,52,8,290,3,3,274.77,0.0,0.0,90,1,19,1539,2012,7,10,7
2012-10-07 08:00:00,0,247,52,5,280,9,9,274.77,0.0,0.0,75,1,2,2232,2012,7,10,8
2012-10-07 09:00:00,0,178,56,7,290,7,7,275.55,0.0,0.0,75,1,2,4568,2012,7,10,9
2012-10-07 10:00:00,0,297,56,8,280,7,7,276.24,0.0,0.0,75,1,2,4624,2012,7,10,10
2012-10-07 11:00:00,0,250,56,7,290,1,1,277.01,0.0,0.0,90,1,19,4529,2012,7,10,11
2012-10-07 12:00:00,0,299,56,9,270,5,5,277.43,0.0,0.0,90,1,19,5139,2012,7,10,12
2012-10-07 13:00:00,0,260,56,8,270,5,5,278.45,0.0,0.0,90,1,19,6640,2012,7,10,13
2012-10-07 14:00:00,0,174,28,8,275,8,8,279.27,0.0,0.0,90,1,19,6589,2012,7,10,14
2012-10-07 15:00:00,0,150,56,9,280,1,1,279.27,0.0,0.0,90,1,19,4429,2012,7,10,15
2012-10-07 16:00:00,0,129,60,7,280,7,7,279.44,0.0,0.0,90,1,19,4329,2012,7,10,16
2012-10-07 17:00:00,0,170,64,6,270,5,5,279.32,0.0,0.0,90,1,19,3833,2012,7,10,17
2012-10-07 18:00:00,0,114,69,5,260,4,4,279.27,0.0,0.0,90,1,19,4015,2012,7,10,18
2012-10-07 19:00:00,0,101,80,4,260,1,1,278.11,0.0,0.0,90,1,19,3382,2012,7,10,19
2012-10-07 20:00:00,0,213,80,5,250,2,2,276.79,0.0,0.0,75,1,2,2815,2012,7,10,20
2012-10-07 21:00:00,0,49,60,7,280,4,4,275.73,0.0,0.0,90,1,19,2110,2012,7,10,21
2012-10-07 22:00:00,0,63,56,8,260,5,5,274.88,0.0,0.0,75,1,2,1555,2012,7,10,22
2012-10-07 23:00:00,0,98,45,8,290,9,9,273.92,0.0,0.0,20,1,4,959,2012,7,10,23
2012-10-08 00:00:00,1,144,45,9,300,5,5,273.08,0.0,0.0,20,1,4,455,2012,8,10,0
2012-10-08 01:00:00,0,11,42,7,290,6,6,272.62,0.0,0.0,20,1,4,336,2012,8,10,1
2012-10-08 02:00:00,0,106,42,8,280,7,7,271.78,0.0,0.0,1,0,27,265,2012,8,10,2
2012-10-08 03:00:00,0,65,45,10,310,8,8,271.05,0.0,0.0,1,0,27,314,2012,8,10,3
2012-10-08 04:00:00,0,133,48,7,300,6,6,270.63,0.0,0.0,1,0,27,779,2012,8,10,4
2012-10-08 05:00:00,0,194,48,8,290,2,2,270.33,0.0,0.0,1,0,27,2571,2012,8,10,5
2012-10-08 06:00:00,0,134,52,6,290,6,6,269.61,0.0,0.0,20,1,4,5563,2012,8,10,6
2012-10-08 07:00:00,0,273,52,8,280,9,9,270.01,0.0,0.0,20,1,4,6676,2012,8,10,7
2012-10-08 08:00:00,0,200,56,7,300,4,4,271.23,0.0,0.0,20,1,4,5966,2012,8,10,8
2012-10-08 09:00:00,0,224,55,8,310,6,6,273.71,0.0,0.0,20,1,4,4832,2012,8,10,9
2012-10-08 10:00:00,0,230,55,6,300,4,4,276.77,0.0,0.0,20,1,4,4395,2012,8,10,10
2012-10-08 11:00:00,0,208,59,5,300,7,7,279.47,0.0,0.0,20,1,4,4411,2012,8,10,11
2012-10-08 12:00:00,0,183,62,5,300,1,1,279.84,0.0,0.0,1,0,27,4648,2012,8,10,12
2012-10-08 13:00:00,0,226,65,5,300,1,1,282.34,0.0,0.0,40,1,24,4602,2012,8,10,13
2012-10-08 14:00:00,0,215,69,5,300,9,9,282.94,0.0,0.0,40,1,24,5125,2012,8,10,14
2012-10-08 15:00:00,0,76,69,7,310,1,1,283.48,0.0,0.0,1,0,27,5502,2012,8,10,15
2012-10-08 16:00:00,0,183,69,5,320,5,5,284.33,0.0,0.0,1,0,27,5979,2012,8,10,16
2012-10-08 17:00:00,0,87,69,6,330,9,9,284.48,0.0,0.0,40,1,24,5663,2012,8,10,17
2012-10-08 18:00:00,0,51,74,4,320,1,1,284.23,0.0,0.0,40,1,24,4259,2012,8,10,18
2012-10-08 19:00:00,0,73,74,4,330,8,8,281.99,0.0,0.0,20,1,4,3069,2012,8,10,19
2012-10-08 20:00:00,0,208,69,5,330,6,6,279.81,0.0,0.0,1,0,27,2378,2012,8,10,20
2012-10-08 21:00:00,0,99,64,4,340,5,5,279.35,0.0,0.0,1,0,27,2030,2012,8,10,21
2012-10-08 22:00:00,0,16,55,6,340,5,5,278.9,0.0,0.0,1,0,27,1400,2012,8,10,22
2012-10-08 23:00:00,0,272,59,5,330,8,8,278.46,0.0,0.0,1,0,27,917,2012,8,10,23
2012-10-09 00:00:00,0,131,41,4,340,8,8,277.78,0.0,0.0,1,0,27,515,2012,9,10,0
2012-10-09 01:00:00,0,173,41,4,350,1,1,277.27,0.0,0.0,1,0,27,302,2012,9,10,1
2012-10-09 02:00:00,0,125,41,4,310,9,9,277.47,0.0,0.0,1,0,27,251,2012,9,10,2
2012-10-09 04:00:00,0,22,45,2,320,8,8,276.97,0.0,0.0,20,1,4,798,2012,9,10,4
2012-10-09 05:00:00,0,29,41,5,350,7,7,276.52,0.0,0.0,40,1,24,2678,2012,9,10,5
2012-10-09 06:00:00,0,210,38,3,350,8,8,276.6,0.0,0.0,40,1,24,5733,2012,9,10,6
2012-10-09 07:00:00,0,263,38,2,360,4,4,277.31,0.0,0.0,75,1,2,6449,2012,9,10,7
2012-10-09 08:00:00,0,95,41,1,290,6,6,278.38,0.0,0.0,90,1,19,5765,2012,9,10,8
2012-10-09 09:00:00,0,189,48,1,270,3,3,279.35,0.0,0.0,90,1,19,5599,2012,9,10,9
2012-10-09 10:00:00,0,246,51,1,250,2,2,281.37,0.0,0.0,90,1,19,4534,2012,9,10,10
2012-10-09 11:00:00,0,70,59,0,0,4,4,283.11,0.0,0.0,90,1,19,4691,2012,9,10,11
2012-10-09 12:00:00,0,224,64,1,250,8,8,284.08,0.0,0.0,75,1,2,5067,2012,9,10,12
2012-10-09 13:00:00,0,224,69,0,0,4,4,285.14,0.0,0.0,75,1,2,5030,2012,9,10,13
2012-10-09 14:00:00,0,99,69,0,0,1,1,286.35,0.0,0.0,90,1,19,5300,2012,9,10,14
2012-10-09 15:00:00,0,105,69,1,220,6,6,287.23,0.0,0.0,100,6,13,5777,2012,9,10,15
2012-10-09 16:00:00,0,70,80,1,200,1,1,288.53,0.0,0.0,90,1,19,6349,2012,9,10,16
2012-10-09 17:00:00,0,65,79,1,200,8,8,290.37,0.0,0.0,90,1,19,6127,2012,9,10,17
2012-10-09 18:00:00,0,229,79,1,200,6,6,290.13,0.0,0.0,90,1,19,4460,2012,9,10,18
2012-10-09 19:00:00,0,103,74,2,230,6,6,288.86,0.0,0.0,75,1,2,3418,2012,9,10,19
2012-10-09 20:00:00,0,49,74,0,0,4,4,287.36,0.0,0.0,90,1,19,2775,2012,9,10,20
2012-10-09 21:00:00,0,257,74,3,220,1,1,285.11,0.0,0.0,90,1,19,2306,2012,9,10,21
2012-10-09 22:00:00,0,226,51,5,230,2,2,283.46,0.0,0.0,90,1,19,1846,2012,9,10,22
2012-10-09 23:00:00,0,163,44,4,230,4,4,282.45,0.0,0.0,90,1,19,947,2012,9,10,23
2012-10-10 00:00:00,0,71,42,3,220,7,7,281.88,0.0,0.0,90,1,19,494,2012,10,10,0
2012-10-10 01:00:00,0,249,31,4,230,3,3,281.78,0.0,0.0,90,1,19,332,2012,10,10,1
2012-10-10 02:00:00,0,199,27,5,220,1,1,281.09,0.0,0.0,75,1,2,261,2012,10,10,2
2012-10-10 03:00:00,0,155,31,4,210,5,5,281.17,0.0,0.0,90,1,19,361,2012,10,10,3
2012-10-10 06:00:00,0,19,25,4,210,3,3,281.25,0.0,0.0,92,0,27,5875,2012,10,10,6
2012-10-10 07:00:00,0,139,21,6,220,2,2,281.25,0.0,0.0,99,6,13,6793,2012,10,10,7
2012-10-10 08:00:00,0,184,27,2,170,2,2,280.1,0.0,0.0,99,6,13,6283,2012,10,10,8
2012-10-10 09:00:00,0,248,33,3,160,3,3,279.61,0.0,0.0,99,6,13,5680,2012,10,10,9
2012-10-10 10:00:00,0,76,39,3,170,2,2,279.67,0.0,0.0,99,0,27,4632,2012,10,10,10
2012-10-10 11:00:00,0,90,45,2,130,2,2,280.19,0.0,0.0,1,0,27,4887,2012,10,10,11
2012-10-10 12:00:00,0,86,51,2,140,3,3,282.09,0.0,0.0,75,1,2,5030,2012,10,10,12
2012-10-10 13:00:00,0,257,42,2,200,7,7,282.26,0.0,0.0,75,1,2,5067,2012,10,10,13
2012-10-10 14:00:00,0,204,45,2,195,9,9,282.05,0.0,0.0,90,1,19,5227,2012,10,10,14
2012-10-10 15:00:00,0,77,48,3,190,2,2,281.59,0.0,0.0,90,1,19,5610,2012,10,10,15
2012-10-10 16:00:00,0,65,52,2,190,2,2,281.23,0.0,0.0,81,0,27,6286,2012,10,10,16
2012-10-10 18:00:00,0,108,52,2,180,8,8,282.6,0.0,0.0,81,0,27,4775,2012,10,10,18
2012-10-10 19:00:00,0,279,56,2,190,8,8,282.6,0.0,0.0,81,0,27,3340,2012,10,10,19
2012-10-10 20:00:00,0,85,52,3,170,7,7,282.6,0.0,0.0,81,0,27,3013,2012,10,10,20
2012-10-10 21:00:00,0,75,52,2,170,6,6,282.6,0.0,0.0,81,0,27,2603,2012,10,10,21
2012-10-10 22:00:00,0,42,49,3,150,9,9,282.6,0.0,0.0,81,0,27,1910,2012,10,10,22
2012-10-10 23:00:00,0,278,43,4,180,5,5,282.6,0.0,0.0,81,0,27,1037,2012,10,10,23
2012-10-11 01:00:00,0,39,43,4,180,4,4,273.9,0.0,0.0,1,0,27,347,2012,11,10,1
2012-10-11 03:00:00,0,35,43,5,170,4,4,274.4,0.0,0.0,75,1,2,350,2012,11,10,3
2012-10-11 04:00:00,0,219,43,4,180,8,8,274.05,0.0,0.0,75,1,2,850,2012,11,10,4
2012-10-11 05:00:00,0,278,41,5,200,5,5,273.71,0.0,0.0,40,1,24,2791,2012,11,10,5
2012-10-11 06:00:00,0,132,41,4,200,6,6,272.66,0.0,0.0,1,0,27,5809,2012,11,10,6
2012-10-11 07:00:00,0,42,27,5,210,1,1,272.65,0.0,0.0,1,0,27,6798,2012,11,10,7
2012-10-11 08:00:00,0,152,31,4,260,8,8,272.52,0.0,0.0,1,0,27,6304,2012,11,10,8
2012-10-11 09:00:00,0,154,36,6,280,8,8,275.19,0.0,0.0,20,1,4,5291,2012,11,10,9
2012-10-11 10:00:00,0,271,44,6,280,9,9,275.34,0.0,0.0,1,0,27,4638,2012,11,10,10
2012-10-11 14:00:00,0,14,47,7,300,8,8,284.1,0.0,0.0,50,0,27,5557,2012,11,10,14
2012-10-11 15:00:00,0,170,54,7,300,1,1,284.1,0.0,0.0,50,0,27,5818,2012,11,10,15
2012-10-11 16:00:00,0,153,53,2,290,2,2,283.78,0.0,0.0,75,1,2,6272,2012,11,10,16
2012-10-11 17:00:00,0,161,57,1,230,9,9,283.52,0.0,0.0,75,1,2,5944,2012,11,10,17
2012-10-11 18:00:00,0,14,57,2,220,3,3,283.32,0.0,0.0,90,1,19,4949,2012,11,10,18
2012-10-11 19:00:00,0,204,61,1,220,7,7,282.06,0.0,0.0,90,1,19,3511,2012,11,10,19
2012-10-11 20:00:00,0,134,61,3,220,6,6,281.95,0.0,0.0,90,1,19,3039,2012,11,10,20
2012-10-11 21:00:00,0,85,63,2,253,5,5,281.81,0.0,0.0,90,1,19,2679,2012,11,10,21
2012-10-11 22:00:00,0,178,65,1,286,3,3,282.16,0.0,0.0,90,1,19,2094,2012,11,10,22
2012-10-11 23:00:00,0,226,68,0,320,4,4,282.53,0.0,0.0,90,1,19,1284,2012,11,10,23
2012-10-12 00:00:00,0,192,66,3,260,6,6,283.91,0.0,0.0,90,1,19,630,2012,12,10,0
2012-10-12 01:00:00,0,122,65,7,310,6,6,284.64,0.0,0.0,90,1,19,410,2012,12,10,1
2012-10-12 02:00:00,0,285,87,4,280,3,3,284.61,0.0,0.0,90,1,19,331,2012,12,10,2
2012-10-12 03:00:00,0,187,75,3,217,6,6,283.18,0.0,0.0,72,2,11,372,2012,12,10,3
2012-10-12 04:00:00,0,134,75,5,260,8,8,282.26,0.0,0.0,72,6,13,739,2012,12,10,4
2012-10-12 05:00:00,0,208,57,7,270,7,7,280.77,0.0,0.0,72,2,11,2561,2012,12,10,5
2012-10-12 06:00:00,0,147,39,9,270,1,1,278.53,0.0,0.0,75,1,2,5586,2012,12,10,6
2012-10-12 07:00:00,0,227,42,6,290,1,1,277.64,0.0,0.0,75,1,2,6992,2012,12,10,7
2012-10-12 08:00:00,0,177,42,6,270,8,8,277.9,0.0,0.0,90,1,19,5860,2012,12,10,8
2012-10-12 09:00:00,0,143,49,4,313,9,9,278.18,0.0,0.0,90,1,19,5230,2012,12,10,9
2012-10-12 10:00:00,0,170,47,5,305,8,8,279.29,0.0,0.0,75,1,2,4864,2012,12,10,10
2012-10-12 11:00:00,0,281,45,7,297,4,4,280.45,0.0,0.0,75,1,2,5146,2012,12,10,11
2012-10-12 12:00:00,0,289,45,7,297,4,4,280.95,0.0,0.0,40,1,24,5526,2012,12,10,12
2012-10-12 13:00:00,0,257,45,7,297,3,3,281.74,0.0,0.0,40,1,24,5383,2012,12,10,13
2012-10-12 14:00:00,0,231,45,7,297,7,7,281.84,0.0,0.0,75,1,2,5758,2012,12,10,14
2012-10-12 15:00:00,0,181,45,7,297,1,1,282.45,0.0,0.0,75,1,2,5889,2012,12,10,15
2012-10-12 16:00:00,0,268,45,7,297,1,1,282.2,0.0,0.0,75,1,2,6057,2012,12,10,16
2012-10-12 17:00:00,0,265,57,5,288,2,2,281.54,0.0,0.0,40,1,24,6028,2012,12,10,17
2012-10-12 18:00:00,0,177,69,3,280,4,4,280.21,0.0,0.0,20,1,4,5257,2012,12,10,18
2012-10-12 23:00:00,0,129,66,4,285,1,1,282.2,0.0,0.0,56,0,27,1897,2012,12,10,23
2012-10-13 00:00:00,0,28,64,4,290,5,5,272.58,0.0,0.0,1,0,27,1335,2012,13,10,0
2012-10-13 01:00:00,0,256,64,4,300,2,2,272.06,0.0,0.0,1,0,27,769,2012,13,10,1
2012-10-13 02:00:00,0,214,64,3,280,5,5,270.99,0.0,0.0,1,0,27,570,2012,13,10,2
2012-10-13 03:00:00,0,76,74,3,260,5,5,270.29,0.0,0.0,20,1,4,413,2012,13,10,3
2012-10-13 04:00:00,0,194,74,2,260,6,6,269.48,0.0,0.0,1,0,27,399,2012,13,10,4
2012-10-13 05:00:00,0,117,86,2,260,9,9,269.27,0.0,0.0,1,0,27,740,2012,13,10,5
2012-10-13 06:00:00,0,174,64,2,270,3,3,268.91,0.0,0.0,1,0,27,1420,2012,13,10,6
2012-10-13 07:00:00,0,130,80,1,240,3,3,268.98,0.0,0.0,75,1,2,2220,2012,13,10,7
2012-10-13 08:00:00,0,93,68,2,244,3,3,269.23,0.0,0.0,40,1,24,3479,2012,13,10,8
2012-10-13 09:00:00,0,270,57,3,248,2,2,272.61,0.0,0.0,40,1,24,4546,2012,13,10,9
